"","County.FIPS","Number.of.Long.Trips","Recip_County","Recip_State.x","Series_Complete_Pop_Pct","Series_Complete_Yes","County.POP","County_Median_Income","Income_CountyMedian_vs_StateMedian","Recip_State_Median_Income","isRepublican","unemployment_pct_2020","POPESTIMATE_2020","AGE18PLUS_TOT","AGE65PLUS_TOT","MEDIAN_AGE_TOT"
"1","53001",6129,"Adams County","WA",24.1,4819,19996,53535,0.68,78674,"1",7.3,20027,12902,2346,28.2
"2","06001",89244,"Alameda County","CA",37.9,633709,1672055,107589,1.34,80423,"0",8.8,1662323,1327352,245136,38.2
"3","06005",4951,"Amador County","CA",27.9,11076,39699,62640,0.78,80423,"1",9.1,40083,34043,11232,50.3
"4","53003",1839,"Asotin County","WA",22.9,5171,22581,54776,0.7,78674,"1",5.2,22820,18259,5617,46
"5","41001",2477,"Baker County","OR",48.6,7836,16123,48530,0.73,66955,"1",7.2,16284,13062,4417,47.9
"6","41003",7016,"Benton County","OR",35.6,33116,93022,69148,1.03,66955,"0",5.6,93239,78372,16209,33.6
"9","53005",17531,"Benton County","WA",27.2,55515,204099,72847,0.93,78674,"1",8.2,206426,152238,32470,36.2
"10","06007",18442,"Butte County","CA",29.4,64397,219037,58394,0.73,80423,"0",9.2,212744,169806,39082,36.8
"11","06009",6077,"Calaveras County","CA",28.2,12950,45922,68248,0.85,80423,"1",7.6,46308,38486,13402,52.3
"12","53007",7291,"Chelan County","WA",39.7,30616,77118,59838,0.76,78674,"1",8.4,77574,59675,15669,40.2
"13","41005",31466,"Clackamas County","OR",28.7,119862,417638,80539,1.2,66955,"0",7.2,421596,332557,80711,41.7
"14","53009",7130,"Clallam County","WA",43.2,33439,77405,57571,0.73,78674,"0",10.2,78067,65166,24362,51.8
"15","53011",38498,"Clark County","WA",28.6,139479,487689,80407,1.02,78674,"0",8.5,496865,381425,81400,38.8
"16","41007",4352,"Clatsop County","OR",27.9,11216,40201,59339,0.89,66955,"0",9.6,40423,32990,9760,44.8
"17","41009",5611,"Columbia County","OR",24.9,13054,52426,72285,1.08,66955,"1",7.9,52876,42083,10613,43.4
"20","53013",575,"Columbia County","WA",25.6,1021,3988,56338,0.72,78674,"1",7.3,4048,3323,1196,51.2
"21","06011",3071,"Colusa County","CA",24.9,5361,21530,59048,0.73,80423,"1",16,21558,15741,3313,35.5
"22","06013",66475,"Contra Costa County","CA",41.3,476659,1154138,106555,1.33,80423,"0",8.9,1152333,896332,192734,40.2
"23","41011",6281,"Coos County","OR",27.4,17645,64398,49504,0.74,66955,"1",8.6,64711,53059,17779,48.7
"24","53015",18359,"Cowlitz County","WA",29.2,32265,110497,57316,0.73,78674,"1",9.3,111371,86334,21864,41.1
