state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
OR,41035,Klamath County,25308,10388,36726,14920,0.689103,0.282851,0.406252
OR,41037,Lake County,3470,792,4363,2678,0.795324,0.181526,0.613798
OR,41039,Lane County,80336,134366,222253,-54030,0.361462,0.604563,-0.243101
OR,41041,Lincoln County,12460,17385,30726,-4925,0.40552,0.565807,-0.160288
OR,41043,Linn County,43486,26512,72640,16974,0.598651,0.364978,0.233673
OR,41045,Malheur County,8187,3260,11804,4927,0.693578,0.276178,0.417401
OR,41047,Marion County,79002,80872,165534,-1870,0.477255,0.488552,-0.011297
OR,41049,Morrow County,3586,1371,5118,2215,0.700664,0.267878,0.432786
OR,41051,Multnomah County,82995,367249,463659,-284254,0.179,0.792067,-0.613067
OR,41053,Polk County,23732,22917,48291,815,0.491437,0.47456,0.016877
OR,41055,Sherman County,921,260,1208,661,0.762417,0.215232,0.547185
OR,41057,Tillamook County,8354,8066,16888,288,0.494671,0.477617,0.017054
OR,41059,Umatilla County,21270,10707,33038,10563,0.643804,0.324081,0.319723
OR,41061,Union County,10298,4254,14944,6044,0.689106,0.284663,0.404443
OR,41063,Wallowa County,3404,1625,5149,1779,0.661099,0.315595,0.345504
OR,41065,Wasco County,7035,6604,14130,431,0.497877,0.467374,0.030502
OR,41067,Washington County,99073,209940,320326,-110867,0.309288,0.655395,-0.346107
OR,41069,Wheeler County,711,217,965,494,0.736788,0.22487,0.511917
OR,41071,Yamhill County,29551,27174,58923,2377,0.501519,0.461178,0.040341
WA,53001,Adams County,3907,1814,5862,2093,0.666496,0.309451,0.357045
WA,53003,Asotin County,7319,4250,11951,3069,0.612417,0.355619,0.256799
WA,53005,Benton County,60365,38706,103033,21659,0.58588,0.375666,0.210214
WA,53007,Chelan County,22746,19349,43306,3397,0.525239,0.446797,0.078442
WA,53009,Clallam County,23062,24721,49264,-1659,0.468131,0.501807,-0.033676
WA,53011,Clark County,126303,140324,275403,-14021,0.458612,0.509522,-0.050911
WA,53013,Columbia County,1754,668,2495,1086,0.703006,0.267735,0.435271
WA,53015,Cowlitz County,34424,23938,60280,10486,0.571068,0.397113,0.173955
WA,53017,Douglas County,12955,7811,21308,5144,0.607988,0.366576,0.241412
WA,53019,Ferry County,2771,1486,4367,1285,0.634532,0.340279,0.294252
WA,53021,Franklin County,18039,13340,32404,4699,0.556691,0.411678,0.145013
WA,53023,Garfield County,1069,366,1489,703,0.717931,0.245803,0.472129
WA,53025,Grant County,24764,11819,37680,12945,0.657219,0.313668,0.343551
WA,53027,Grays Harbor County,19877,17354,38441,2523,0.517078,0.451445,0.065633
WA,53029,Island County,22746,29213,53925,-6467,0.421808,0.541734,-0.119926
WA,53031,Jefferson County,6931,17204,24792,-10273,0.279566,0.693934,-0.414368
WA,53033,King County,269167,907310,1210507,-638143,0.222359,0.749529,-0.52717
WA,53035,Kitsap County,61563,90277,158672,-28714,0.387989,0.568954,-0.180965
WA,53037,Kittitas County,14105,11421,26364,2684,0.53501,0.433204,0.101805
WA,53039,Klickitat County,7237,5959,13560,1278,0.533702,0.439454,0.094248
WA,53041,Lewis County,29391,14520,45309,14871,0.648679,0.320466,0.328213
WA,53043,Lincoln County,5150,1713,7033,3437,0.732262,0.243566,0.488696
WA,53045,Mason County,18710,17269,37303,1441,0.501568,0.462939,0.03863
WA,53047,Okanogan County,11840,8900,21282,2940,0.556339,0.418194,0.138145
WA,53049,Pacific County,6953,6794,14064,159,0.494383,0.483077,0.011305
WA,53051,Pend Oreille County,5728,2593,8553,3135,0.669707,0.303168,0.366538
WA,53053,Pierce County,197730,249506,464081,-51776,0.426068,0.537635,-0.111567
WA,53055,San Juan County,3057,9725,13197,-6668,0.231644,0.73691,-0.505266
WA,53057,Skagit County,32762,38252,73423,-5490,0.446209,0.520981,-0.074772
WA,53059,Skamania County,3885,3192,7312,693,0.531318,0.436543,0.094776
WA,53061,Snohomish County,166428,256728,438796,-90300,0.379283,0.585074,-0.20579
WA,53063,Spokane County,148576,135765,295430,12811,0.502914,0.45955,0.043364
WA,53065,Stevens County,19808,7839,28430,11969,0.696729,0.27573,0.420999
WA,53067,Thurston County,65277,96608,168134,-31331,0.388244,0.574589,-0.186345
WA,53069,Wahkiakum County,1741,1165,2981,576,0.584032,0.390808,0.193224
WA,53071,Walla Walla County,16400,13690,31261,2710,0.524615,0.437926,0.086689
WA,53073,Whatcom County,50489,83660,138620,-33171,0.364226,0.60352,-0.239294
WA,53075,Whitman County,9067,11184,21126,-2117,0.429187,0.529395,-0.100208
WA,53077,Yakima County,50555,43179,96193,7376,0.525558,0.448879,0.076679
